x0,x1,x2,x3,x4,x5,x6,x7,t0,t1,t2,t3,t4,t5,t6,t7
67,67,67,74,71,69,67,67,62,62,64,62,62,62,59,64
67,67,69,71,69,71,74,74,62,64,66,67,66,67,62,64
72,71,69,69,67,67,67,67,66,67,67,66,62,62,62,64
74,71,69,67,67,67,67,69,62,62,62,59,64,62,64,66
71,69,71,74,74,72,71,69,67,66,67,62,64,66,67,67
69,67,71,71,71,72,72,74,66,62,67,67,66,64,66,67
74,74,74,72,71,69,67,71,67,69,67,66,67,66,64,64
71,71,72,74,74,72,72,71,66,67,69,69,67,67,66,67
71,67,71,74,74,72,71,69,65,64,67,69,67,66,67,66
67,67,67,69,71,69,71,74,66,64,64,66,67,66,67,69
69,69,69,69,71,67,66,64,64,66,64,66,66,64,63,59
71,73,71,71,69,68,66,68,68,69,68,66,64,64,64,64
66,64,69,69,69,69,71,67,63,59,64,66,64,66,66,64
66,64,71,73,71,71,69,68,63,59,68,69,68,66,64,64
66,68,66,64,76,76,74,73,64,64,63,59,73,71,69,69
64,69,71,73,74,74,76,74,62,61,62,64,66,68,69,69
73,71,74,73,73,71,76,76,69,64,71,69,68,66,64,66
71,72,74,72,71,69,71,72,65,65,65,64,64,64,68,69
74,72,71,69,69,71,69,67,65,64,64,64,62,62,63,64
67,69,71,72,71,72,71,69,59,57,57,69,68,69,69,64
68,69,69,76,72,74,76,74,64,64,64,64,64,65,67,66
71,71,71,71,71,74,73,73,68,66,68,69,68,66,64,69
70,71,71,71,73,71,71,71,61,66,64,63,64,63,68,66
71,71,71,74,73,73,71,71,68,69,68,66,64,69,69,68
71,71,73,71,71,71,76,76,64,63,64,63,64,66,68,70
75,73,75,76,75,73,71,71,71,70,71,71,71,66,66,68
76,76,71,73,68,69,71,69,64,66,68,69,64,66,68,66
74,76,74,72,71,72,74,72,67,67,66,66,67,67,66,64
74,72,71,72,74,72,71,72,66,66,67,67,66,64,67,67
72,71,69,69,71,69,67,67,64,64,64,62,62,60,59,64
69,71,72,74,76,76,71,71,64,62,64,65,64,66,67,66
73,73,74,71,72,74,76,74,67,69,66,62,62,67,67,69
76,76,69,69,74,72,71,69,64,60,62,64,65,64,62,60
72,71,71,69,67,67,69,67,69,62,64,65,64,62,64,64
67,69,69,71,71,72,74,72,57,55,53,55,67,67,66,67
72,69,74,72,65,70,69,65,64,65,65,65,70,64,65,67
67,69,72,74,74,76,76,76,64,65,69,69,67,67,72,70
77,76,74,74,72,69,70,70,69,69,69,67,67,65,65,64
69,69,68,66,66,64,69,71,64,66,64,62,61,59,64,66
71,73,73,73,73,71,73,73,64,64,64,66,68,68,65,66
66,66,64,69,71,71,73,73,62,61,59,64,66,64,64,64
73,69,68,68,66,71,71,69,68,66,66,65,61,66,64,64
68,69,66,66,64,64,69,69,64,64,64,63,59,61,61,66
71,73,73,74,74,76,76,76,64,64,66,66,67,67,66,64
69,73,71,69,68,69,66,66,62,64,66,66,64,64,64,63
73,73,73,71,73,74,74,73,66,68,69,64,68,69,71,69
70,70,68,68,68,70,70,68,65,67,67,63,65,67,64,65
67,67,65,65,72,72,73,73,65,64,64,60,65,65,65,65
73,73,72,72,70,67,68,70,70,70,70,69,65,64,65,65
70,68,67,67,65,77,77,75,64,65,65,64,60,68,68,67
75,74,74,74,74,72,72,72,67,67,68,67,65,64,64,65
72,73,73,72,70,70,70,68,65,65,67,68,68,65,67,67
68,68,68,68,73,73,70,70,63,63,65,65,70,70,67,67
75,75,72,72,72,72,77,77,72,72,68,67,68,70,72,70
67,67,69,71,73,74,74,74,62,64,66,62,64,66,64,66
73,74,71,72,71,71,69,71,67,66,66,64,62,64,66,67
69,69,67,67,67,69,71,73,67,66,62,62,64,66,62,64
74,74,74,73,74,71,72,71,66,64,66,67,66,66,64,62
71,69,71,69,69,67,69,69,64,66,67,67,66,62,66,67
71,69,71,71,71,71,72,74,68,64,64,63,64,64,64,66
76,76,76,76,75,76,78,79,67,66,66,67,69,67,69,67
74,74,76,74,72,72,71,72,67,66,64,66,67,69,62,62
71,69,67,65,65,64,69,67,72,65,64,62,60,59,64,62
72,71,72,74,74,67,71,69,69,67,67,67,65,64,62,60
67,67,72,71,71,69,64,67,59,64,64,64,62,60,60,62
79,81,79,77,79,67,67,72,76,77,76,74,76,64,64,67
72,76,76,79,81,79,77,79,67,72,72,76,77,76,74,76
79,81,79,77,79,67,67,72,76,77,76,74,76,64,64,67
72,76,76,79,81,79,77,79,67,72,72,76,77,76,74,76
79,81,79,77,79,67,67,72,76,77,76,74,76,64,64,67
72,76,76,79,81,79,77,79,67,72,72,76,77,76,74,76
79,81,79,77,79,67,67,72,76,77,76,74,76,64,64,67
72,76,76,79,81,79,77,79,67,72,72,76,77,76,74,76
79,81,79,77,79,67,67,72,76,77,76,74,76,64,64,67
69,67,72,74,72,71,72,72,65,64,67,68,69,67,67,67
72,72,71,69,69,71,68,69,69,66,67,67,67,66,64,64
69,67,67,69,71,71,72,72,62,62,64,62,62,65,64,65
72,67,67,69,71,72,74,76,64,64,62,60,62,64,65,67
